TSR,-5°,-4.5°,-4°,-3.5°,-3°,-2.5°,-2°,-1.5°,-1°,-0.5°,0°,0.5°,1°,1.5°,2°,2.5°,3°,3.5°,4°,4.5°,5°
0.4119415851,0.0007,0.0008500000000000001,0.001,0.00115,0.0013,0.0014,0.0015,0.00165,0.0018,0.00195,0.0021,0.0021999999999999997,0.0023,0.00245,0.0026,0.0027,0.0028,0.00295,0.0031,0.0031999999999999997,0.0033
0.4394043575,0.0008,0.0009500000000000001,0.0011,0.00125,0.0014,0.0015,0.0016,0.00175,0.0019,0.00205,0.0022,0.00235,0.0025,0.0026,0.0027,0.00285,0.003,0.00315,0.0033,0.0034000000000000002,0.0035
0.470790383,0.0009,0.00105,0.0012,0.00135,0.0015,0.00165,0.0018,0.00195,0.0021,0.00225,0.0024,0.00255,0.0027,0.00285,0.003,0.0031000000000000003,0.0032,0.00335,0.0035,0.00365,0.0038
0.5070050279,0.0009,0.0010999999999999998,0.0013,0.00145,0.0016,0.00175,0.0019,0.00205,0.0022,0.0024000000000000002,0.0026,0.00275,0.0029,0.0030499999999999998,0.0032,0.00335,0.0035,0.00365,0.0038,0.00395,0.0041
0.5492554469,0.001,0.0012000000000000001,0.0014,0.00155,0.0017,0.0018999999999999998,0.0021,0.00225,0.0024,0.0026,0.0028,0.003,0.0032,0.00335,0.0035,0.00365,0.0038,0.004,0.0042,0.00435,0.0045
0.5991877602,0.0011,0.0013,0.0015,0.0017000000000000001,0.0019,0.0021,0.0023,0.0025,0.0027,0.0029,0.0031,0.0033,0.0035,0.0037,0.0039,0.00405,0.0042,0.004399999999999999,0.0046,0.0048000000000000004,0.005
0.6591065362,0.0012,0.00145,0.0017,0.0018999999999999998,0.0021,0.0023499999999999997,0.0026,0.0028,0.003,0.0031999999999999997,0.0034,0.0036499999999999996,0.0039,0.0040999999999999995,0.0043,0.0045000000000000005,0.0047,0.0049,0.0051,0.005350000000000001,0.0056
0.7323405958,0.0014,0.00165,0.0019,0.00215,0.0024,0.0026499999999999996,0.0029,0.00315,0.0034,0.0036499999999999996,0.0039,0.00415,0.0044,0.00465,0.0049,0.0051,0.0053,0.005549999999999999,0.0058,0.00605,0.0063
0.8238831703,0.0016,0.0019000000000000002,0.0022,0.0025,0.0028,0.0030499999999999998,0.0033,0.0036,0.0039,0.0042,0.0045,0.0048000000000000004,0.0051,0.005350000000000001,0.0056,0.0059,0.0062,0.00645,0.0067,0.00695,0.0072
0.8238831703,0.0016,0.0019000000000000002,0.0022,0.0025,0.0028,0.0030499999999999998,0.0033,0.0036,0.0039,0.0042,0.0045,0.0048000000000000004,0.0051,0.005350000000000001,0.0056,0.0059,0.0062,0.00645,0.0067,0.00695,0.0072
0.878808715,0.0017,0.002,0.0023,0.00265,0.003,0.0033,0.0036,0.0039,0.0042,0.00455,0.0049,0.0052,0.0055,0.0058,0.0061,0.0064,0.0067,0.007,0.0073,0.007549999999999999,0.0078
0.9415807661,0.0018,0.00215,0.0025,0.00285,0.0032,0.00355,0.0039,0.00425,0.0046,0.0049499999999999995,0.0053,0.0056500000000000005,0.006,0.0063,0.0066,0.00695,0.0073,0.007600000000000001,0.0079,0.0082,0.0085
